Date,Mean
1945,01
1946,22
1947,-18
1948,05
1949,12
1950,-27
1951,-29
1952,15
1953,10
1954,-23
1955,08
1956,-17
1957,-11
1958,29
1959,12
1960,0
1961,11
1962,13
1963,03
1964,04
1965,-06
1966,-04
1967,-10
1968,-18
1969,-12
1970,12
1971,-0
1972,-24
1973,25
1974,-19
1975,12
1976,-01
1977,06
1978,16
1979,16
1980,30
1981,46
1982,13
1983,51
1984,28
1985,17
1986,32
1987,31
1988,54
1989,21
1990,36
1991,45
1992,47
1993,38
1994,29
1995,54
1996,26
1997,37
1998,60
1999,50
2000,34
2001,47
2002,69
2003,69
2004,59
2005,62
2006,45
2007,88
2008,27
2009,59
2010,69
2011,47
2012,42
2013,58
2014,69
2015,81
