Date,Mean
06/12/2016,0.7895
06/12/2016,0.81
06/11/2016,0.7504
06/11/2016,0.93
06/10/2016,0.7292
06/10/2016,0.89
06/09/2016,0.8767
06/09/2016,0.87
06/08/2016,0.8998
06/08/2016,0.98
06/07/2016,0.8687
06/07/2016,0.83
06/06/2016,0.9006
06/06/2016,0.76
06/05/2016,0.8738
06/05/2016,0.93
06/04/2016,1.0733
06/04/2016,1.09
06/03/2016,1.2245
06/03/2016,1.3
06/02/2016,1.1921
06/02/2016,1.35
06/01/2016,1.0569
06/01/2016,1.17
06/12/2015,1.1219
06/12/2015,1.11
06/11/2015,0.9655
06/11/2015,1.04
06/10/2015,0.9913
06/10/2015,1.06
06/09/2015,0.926
06/09/2015,0.81
06/08/2015,0.8746
06/08/2015,0.78
06/07/2015,0.8072
06/07/2015,0.71
06/06/2015,0.8835
06/06/2015,0.78
06/05/2015,0.8584
06/05/2015,0.78
06/04/2015,0.7741
06/04/2015,0.74
06/03/2015,0.8969
06/03/2015,0.9
06/02/2015,0.8843
06/02/2015,0.86
06/01/2015,0.8141
06/01/2015,0.81
06/12/2014,0.8308
06/12/2014,0.79
06/11/2014,0.6895
06/11/2014,0.67
06/10/2014,0.7851
06/10/2014,0.85
06/09/2014,0.7872
06/09/2014,0.9
06/08/2014,0.7986
06/08/2014,0.82
06/07/2014,0.6988
06/07/2014,0.57
06/06/2014,0.7623
06/06/2014,0.66
06/05/2014,0.7938
06/05/2014,0.87
06/04/2014,0.8006
06/04/2014,0.78
06/03/2014,0.7695
06/03/2014,0.77
06/02/2014,0.48
06/02/2014,0.51
06/01/2014,0.6936
06/01/2014,0.73
06/12/2013,0.6981
06/12/2013,0.67
06/11/2013,0.8293
06/11/2013,0.81
06/10/2013,0.6787
06/10/2013,0.69
06/09/2013,0.6857
06/09/2013,0.78
06/08/2013,0.6605
06/08/2013,0.66
06/07/2013,0.6662
06/07/2013,0.59
06/06/2013,0.6838
06/06/2013,0.65
06/05/2013,0.7141
06/05/2013,0.61
06/04/2013,0.561
06/04/2013,0.52
06/03/2013,0.6139
06/03/2013,0.66
06/02/2013,0.6357
06/02/2013,0.55
06/01/2013,0.5873
06/01/2013,0.68
06/12/2012,0.4655
06/12/2012,0.53
06/11/2012,0.7087
06/11/2012,0.75
06/10/2012,0.7022
06/10/2012,0.78
06/09/2012,0.7266
06/09/2012,0.76
06/08/2012,0.6694
06/08/2012,0.63
06/07/2012,0.6884
06/07/2012,0.57
06/06/2012,0.7039
06/06/2012,0.62
06/05/2012,0.7221
06/05/2012,0.76
06/04/2012,0.7335
06/04/2012,0.69
06/03/2012,0.5218
06/03/2012,0.58
06/02/2012,0.4235
06/02/2012,0.49
06/01/2012,0.4228
06/01/2012,0.46
06/12/2011,0.5485
06/12/2011,0.54
06/11/2011,0.4857
06/11/2011,0.56
06/10/2011,0.6349
06/10/2011,0.66
06/09/2011,0.5998
06/09/2011,0.56
06/08/2011,0.616
06/08/2011,0.73
06/07/2011,0.6282
06/07/2011,0.73
06/06/2011,0.6465
06/06/2011,0.59
06/05/2011,0.5741
06/05/2011,0.53
06/04/2011,0.6522
06/04/2011,0.65
06/03/2011,0.5915
06/03/2011,0.64
06/02/2011,0.4976
06/02/2011,0.53
06/01/2011,0.4706
06/01/2011,0.51
06/12/2010,0.4894
06/12/2010,0.49
06/11/2010,0.7682
06/11/2010,0.79
06/10/2010,0.6268
06/10/2010,0.71
06/09/2010,0.5724
06/09/2010,0.61
06/08/2010,0.6595
06/08/2010,0.65
06/07/2010,0.7287
06/07/2010,0.62
06/06/2010,0.7339
06/06/2010,0.64
06/05/2010,0.7582
06/05/2010,0.75
06/04/2010,0.8287
06/04/2010,0.87
06/03/2010,0.847
06/03/2010,0.92
06/02/2010,0.708
06/02/2010,0.78
06/01/2010,0.6958
06/01/2010,0.73
06/12/2009,0.6176
06/12/2009,0.65
06/11/2009,0.6716
06/11/2009,0.77
06/10/2009,0.6418
06/10/2009,0.64
06/09/2009,0.7083
06/09/2009,0.7
06/08/2009,0.6998
06/08/2009,0.66
06/07/2009,0.6439
06/07/2009,0.72
06/06/2009,0.6741
06/06/2009,0.65
06/05/2009,0.5868
06/05/2009,0.65
06/04/2009,0.6539
06/04/2009,0.61
06/03/2009,0.5794
06/03/2009,0.53
06/02/2009,0.5679
06/02/2009,0.53
06/01/2009,0.5955
06/01/2009,0.62
06/12/2008,0.5635
06/12/2008,0.54
06/11/2008,0.6703
06/11/2008,0.66
06/10/2008,0.669
06/10/2008,0.67
06/09/2008,0.5318
06/09/2008,0.65
06/08/2008,0.5594
06/08/2008,0.44
06/07/2008,0.5796
06/07/2008,0.6
06/06/2008,0.5314
06/06/2008,0.48
06/05/2008,0.5011
06/05/2008,0.51
06/04/2008,0.4827
06/04/2008,0.53
06/03/2008,0.7625
06/03/2008,0.73
06/02/2008,0.3774
06/02/2008,0.36
06/01/2008,0.2746
06/01/2008,0.24
06/12/2007,0.4872
06/12/2007,0.5
06/11/2007,0.5172
06/11/2007,0.57
06/10/2007,0.567
06/10/2007,0.6
06/09/2007,0.5775
06/09/2007,0.64
06/08/2007,0.5509
06/08/2007,0.6
06/07/2007,0.5286
06/07/2007,0.62
06/06/2007,0.5374
06/06/2007,0.58
06/05/2007,0.609
06/05/2007,0.67
06/04/2007,0.7336
06/04/2007,0.76
06/03/2007,0.6668
06/03/2007,0.7
06/02/2007,0.6609
06/02/2007,0.7
06/01/2007,0.8839
06/01/2007,0.96
06/12/2006,0.7692
06/12/2006,0.77
06/11/2006,0.6449
06/11/2006,0.72
06/10/2006,0.6774
06/10/2006,0.69
06/09/2006,0.6337
06/09/2006,0.64
06/08/2006,0.6231
06/08/2006,0.72
06/07/2006,0.6218
06/07/2006,0.54
06/06/2006,0.6399
06/06/2006,0.64
06/05/2006,0.5499
06/05/2006,0.47
06/04/2006,0.5177
06/04/2006,0.5
06/03/2006,0.5931
06/03/2006,0.63
